Context,English,Italian,Example,Note,Audio,Tag_Source,Tier,Audio_Front
(Theme: famiglia),family relationships,rapporti familiari,"I miei rapporti familiari sono molto importanti per me.",,,CILS Thematic Collocations,3,
(Theme: famiglia),close bonds,legami stretti,"Abbiamo dei legami stretti in questa famiglia.",,,CILS Thematic Collocations,3,
(Theme: famiglia),traditional values,valori tradizionali,"I miei nonni credono molto nei valori tradizionali.",,,CILS Thematic Collocations,3,
(Theme: famiglia),family unit,nucleo familiare,"Il nucleo familiare tradizionale è composto da genitori e figli.",,,CILS Thematic Collocations,3,
(Theme: famiglia),spend time with,passare tempo con,"Mi piace passare tempo con i miei amici.",,,CILS Thematic Collocations,3,
(Theme: famiglia),family support,sostegno familiare,"Ho sempre avuto un grande sostegno familiare.",,,CILS Thematic Collocations,3,
(Theme: citta),public transport,mezzi pubblici,"Preferisco usare i mezzi pubblici per andare al lavoro.",,,CILS Thematic Collocations,3,
(Theme: citta),heavy traffic,traffico intenso,"C'è sempre traffico intenso nelle ore di punta.",,,CILS Thematic Collocations,3,
(Theme: citta),green spaces,spazi verdi,"Questa città ha molti spazi verdi.",,,CILS Thematic Collocations,3,
(Theme: citta),historic center,centro storico,"Il centro storico di Roma è magnifico.",,,CILS Thematic Collocations,3,
(Theme: citta),efficient public transport,trasporto pubblico efficiente,"Milano ha un trasporto pubblico efficiente.",,,CILS Thematic Collocations,3,
(Theme: citta),quiet/safe neighborhood,quartiere tranquillo/sicuro,"Vivo in un quartiere tranquillo e sicuro.",,,CILS Thematic Collocations,3,
(Theme: lavoro),work experience,esperienza lavorativa,"Ho molta esperienza lavorativa in questo settore.",,,CILS Thematic Collocations,3,
(Theme: lavoro),professional skills,competenze professionali,"Le tue competenze professionali sono eccellenti.",,,CILS Thematic Collocations,3,
(Theme: lavoro),work environment,ambiente di lavoro,"L'ambiente di lavoro in questa azienda è molto positivo.",,,CILS Thematic Collocations,3,
(Theme: lavoro),fixed-term contract,contratto a tempo determinato,"Mi hanno offerto un contratto a tempo determinato.",,,CILS Thematic Collocations,3,
(Theme: lavoro),flexible hours,orario flessibile,"Chiederò al capo un orario flessibile.",,,CILS Thematic Collocations,3,
(Theme: lavoro),work-life balance,equilibrio vita-lavoro,"L'equilibrio vita-lavoro è fondamentale per la salute.",,,CILS Thematic Collocations,3,
(Theme: tempo_libero),physical activity,attività fisica,"Faccio attività fisica tre volte a settimana.",,,CILS Thematic Collocations,3,
(Theme: tempo_libero),go for walks,fare passeggiate,"Mi piace fare passeggiate nel parco.",,,CILS Thematic Collocations,3,
(Theme: tempo_libero),listen to music,ascoltare musica,"Nel tempo libero mi piace ascoltare musica.",,,CILS Thematic Collocations,3,
(Theme: tempo_libero),spend time,passare il tempo,"Come ti piace passare il tempo libero?",,,CILS Thematic Collocations,3,
(Theme: tempo_libero),enjoy free time,godersi il tempo libero,"È importante godersi il tempo libero.",,,CILS Thematic Collocations,3,
(Theme: tempo_libero),do volunteer work,fare volontariato,"Ho deciso di fare volontariato in ospedale.",,,CILS Thematic Collocations,3,
(Theme: viaggiare),go on a trip,fare una gita,"Domenica facciamo una gita al mare.",,,CILS Thematic Collocations,3,
(Theme: viaggiare),visit new places,visitare posti nuovi,"Adoro viaggiare e visitare posti nuovi.",,,CILS Thematic Collocations,3,
(Theme: viaggiare),book a hotel,prenotare un albergo,"Devo prenotare un albergo per le vacanze.",,,CILS Thematic Collocations,3,
(Theme: viaggiare),rent an apartment,affittare un appartamento,"È meglio affittare un appartamento o stare in hotel?",,,CILS Thematic Collocations,3,
(Theme: viaggiare),take a trip,fare un viaggio,"Voglio fare un viaggio in Giappone.",,,CILS Thematic Collocations,3,
(Theme: viaggiare),discover new places,scoprire nuovi posti,"Viaggiare ti aiuta a scoprire nuovi posti.",,,CILS Thematic Collocations,3,
(Theme: ambiente),recycling collection,raccolta differenziata,"È importante fare la raccolta differenziata.",,,CILS Thematic Collocations,3,
(Theme: ambiente),natural resources,risorse naturali,"Dobbiamo proteggere le nostre risorse naturali.",,,CILS Thematic Collocations,3,
(Theme: ambiente),renewable energy,energia rinnovabile,"L'energia rinnovabile è il futuro.",,,CILS Thematic Collocations,3,
(Theme: ambiente),air pollution,inquinamento atmosferico,"L'inquinamento atmosferico è un problema grave.",,,CILS Thematic Collocations,3,
(Theme: ambiente),respect the environment,rispettare l'ambiente,"Tutti dovremmo rispettare l'ambiente.",,,CILS Thematic Collocations,3,
(Theme: ambiente),organic products,prodotti biologici,"Preferisco comprare prodotti biologici.",,,CILS Thematic Collocations,3,
(Theme: salute),lifestyle,stile di vita,"Ho uno stile di vita molto attivo.",,,CILS Thematic Collocations,3,
(Theme: salute),healthy diet,alimentazione sana,"Un'alimentazione sana è la chiave per stare bene.",,,CILS Thematic Collocations,3,
(Theme: salute),do sport,fare sport,"Per stare in salute, è utile fare sport.",,,CILS Thematic Collocations,3,
(Theme: salute),keep fit,mantenersi in forma,"Vado in palestra per mantenermi in forma.",,,CILS Thematic Collocations,3,
(Theme: salute),immune defenses,difese immunitarie,"La vitamina C aiuta le difese immunitarie.",,,CILS Thematic Collocations,3,
(Theme: salute),do physical exercise,fare esercizio fisico,"È importante fare esercizio fisico regolarmente.",,,CILS Thematic Collocations,3,
(Theme: casa),natural light,luce naturale,"Questo appartamento ha molta luce naturale.",,,CILS Thematic Collocations,3,
(Theme: casa),convenient location,posizione strategica,"L'hotel si trova in una posizione strategica.",,,CILS Thematic Collocations,3,
(Theme: casa),close to public transport,vicino ai mezzi di trasporto,"Cerco un appartamento vicino ai mezzi di trasporto.",,,CILS Thematic Collocations,3,
(Theme: casa),spacious apartment,appartamento spazioso,"Hanno comprato un appartamento spazioso.",,,CILS Thematic Collocations,3,
(Theme: casa),rent/buy a house,affittare/comprare casa,"È meglio affittare o comprare casa?",,,CILS Thematic Collocations,3,
(Theme: casa),furnish the house,arredare la casa,"Dobbiamo ancora arredare la casa nuova.",,,CILS Thematic Collocations,3,
(Theme: lingua),learn a language,imparare una lingua,"Voglio imparare una lingua straniera.",,,CILS Thematic Collocations,3,
(Theme: lingua),make progress,fare progressi,"Sto iniziando a fare progressi in italiano.",,,CILS Thematic Collocations,3,
(Theme: lingua),study on your own,studiare da solo,"Preferisci studiare da solo o in gruppo?",,,CILS Thematic Collocations,3,
(Theme: lingua),attend a course,seguire un corso,"Sto seguendo un corso di cucina.",,,CILS Thematic Collocations,3,
(Theme: lingua),practice,fare pratica,"Devi fare pratica ogni giorno.",,,CILS Thematic Collocations,3,
(Theme: lingua),intermediate level,livello intermedio,"Ho raggiunto un livello intermedio.",,,CILS Thematic Collocations,3,
(Theme: comunicazione),keep in touch,restare in contatto,"È facile restare in contatto con gli amici.",,,CILS Thematic Collocations,3,
(Theme: comunicazione),social media,social media,"Passo molto tempo sui social media.",,,CILS Thematic Collocations,3,
(Theme: comunicazione),fake news,fake news,"Bisogna fare attenzione alle fake news.",,,CILS Thematic Collocations,3,
(Theme: comunicazione),stay up to date,essere aggiornato,"Leggo il giornale per essere aggiornato.",,,CILS Thematic Collocations,3,
(Theme: comunicazione),points of view,punti di vista,"È importante ascoltare altri punti di vista.",,,CILS Thematic Collocations,3,
(Theme: comunicazione),means of communication,mezzi di comunicazione,"La televisione è un potente mezzo di comunicazione.",,,CILS Thematic Collocations,3,
